Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor(free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|Account Name
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/XII17-01/ITOS|Yes|N/A|300 mandays/month provided for Indosat IT operation support|Distributed Middleware  Databases  Servers and Storage Management|Open|9-Dec-17|8-Oct-18|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/II18-08/ITOS|Yes|N/A|100 mandays/month provided for Indosat IT operation support|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Mar-18|28-Feb-19|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/III18-01/ITOS|Yes|N/A|140 mandays/month provided for Indosat IT operation support|Risk and Compliance Management|Open|2-Apr-18|1-Apr-19|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/III18-11/ITOS|Yes|N/A|60 mandays/month provided for Indosat IT operation support|Distributed Middleware  Databases  Servers and Storage Management|Open|2-Apr-18|1-Apr-19|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/VII17-06/ITOS|Yes|N/A|100 mandays/month provided for Indosat IT operation support|Distributed Middleware  Databases  Servers and Storage Management|Open|18-Mar-18|17-Mar-19|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
JTI|PT. JASA TEKNOLOGI INFORMASI IBM|The Plaza Office Tower 16th Floor  Jl. MH Thamrin Kav 28-30  Jakarta 10350|021941513058|JIDC 3663/II18-16/ITOS|Yes|N/A|600 mandays/month provided for Indosat IT operation support|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|1-Mar-18|28-Feb-19|GTS|1) lisya umra/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106853|Yes|N/A|L2 Tech Support for iGate|Distributed Middleware  Databases  Servers and Storage Management|Open|21-Mar-18|20-Jun-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106164|Yes|N/A|Lead & Tech Support for Simponi|Distributed Middleware  Databases  Servers and Storage Management|Open|18-Apr-17|17-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106776|Yes|N/A|Tech Support for Datawarehouse|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Mar-18|31-Mar-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106638|Yes|N/A|L2 Tech Support for NGSSP|Distributed Middleware  Databases  Servers and Storage Management|Open|8-Jan-18|7-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106639|Yes|N/A|Lead & Tech Support for BI and Hadoop Ops|Distributed Middleware  Databases  Servers and Storage Management|Open|12-Jan-18|11-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106251|Yes|N/A|Tech Support for CRM Icare Siebel|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Jul-17|30-Jun-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106735|Yes|N/A|Lead & Tech Support for Tertio Provisioning|Distributed Middleware  Databases  Servers and Storage Management|Open|21-Feb-18|20-Jul-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106736|Yes|N/A|Tech Support for Datawarehouse|Distributed Middleware  Databases  Servers and Storage Management|Open|24-Feb-18|23-Aug-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106543|Yes|N/A|Lead & Tech Support for Tertio Provisioning|Distributed Middleware  Databases  Servers and Storage Management|Open|21-Nov-17|20-Nov-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000380594|HTC Software Singapore Pte. Ltd.|INDONESIA|GST 19-9303853-R|IV106575|Yes|N/A|Lead & Tech Support for CRM Catalist Siebel|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Jan-18|31-Dec-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000451412|PT Abishar Technologies Indonesia|INDONESIA|764553855063000|IV106083|Yes|N/A|L2 Tech Support for NGSSP|Distributed Middleware  Databases  Servers and Storage Management|Open|21-Mar-17|20-Mar-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000451412|PT Abishar Technologies Indonesia|INDONESIA|764553855063000|IV106702|Yes|N/A|Tech Support for CRM Catalist Siebel|Distributed Middleware  Databases  Servers and Storage Management|Open|17-Feb-18|16-May-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000451412|PT Abishar Technologies Indonesia|INDONESIA|764553855063000|IV106599|Yes|N/A|Lead & Tech Support for CRM Mobile|Distributed Middleware  Databases  Servers and Storage Management|Open|9-Jan-18|8-Jan-19|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000451412|PT Abishar Technologies Indonesia|INDONESIA|764553855063000|IV106600|Yes|N/A|Lead & Tech Support for CRM Catalist Siebel|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Feb-18|31-Jan-19|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000440342|PT APLIKANUSA LINTASARTA|INDONESIA|013299292092000|IV106717|Yes|N/A|Lintasarta Managed Services|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Feb-18|31-Jul-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000441636|PT Lentice Solutions|INDONESIA|210951190063000|IV106816|Yes|N/A|IDM Technical Support & SOC Monitoring Support|Risk and Compliance Management|Open|1-Feb-18|31-Dec-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Patria Indrajaya/Indonesia/IBM|Indosat||Indosat
B98022|PT Mitra Integrasi Informatika|INDONESIA|017645896062000|IV106713|Yes|N/A|Desktop Maintenance  Symantec Support  and Helpdesk Services|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|1-Feb-18|31-Jan-19|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Lioe Eric Marcelius/Indonesia/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106560|Yes|PT VLink Consulting Indonesia Office 8 Level 18-A  Jl. Jend Sudirman Kav 52-53 SCBD  Jakarta Selatan 12190 (Indonesia)|Lead & Tech Support for Simponi|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Dec-17|28-Feb-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106843|Yes|PT VLink Consulting Indonesia Office 8 Level 18-A  Jl. Jend Sudirman Kav 52-53 SCBD  Jakarta Selatan 12190 (Indonesia)|Tech Support for CRM Icare Siebel|Distributed Middleware  Databases  Servers and Storage Management|Open|14-Mar-18|13-Jun-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106580|Yes|PT VLink Consulting Indonesia Office 8 Level 18-A  Jl. Jend Sudirman Kav 52-53 SCBD  Jakarta Selatan 12190 (Indonesia)|Lead & Tech Support for Billing Operation|Distributed Middleware  Databases  Servers and Storage Management|Open|5-Jan-18|26-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106648|Yes|PT VLink Consulting Indonesia Office 8 Level 18-A  Jl. Jend Sudirman Kav 52-53 SCBD  Jakarta Selatan 12190 (Indonesia)|Svc Management - Incident  Capacity  Config|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|2-Jan-18|1-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106697.|Yes|PT VLink Consulting Indonesia Office 8 Level 18-A  Jl. Jend Sudirman Kav 52-53 SCBD  Jakarta Selatan 12190 (Indonesia)|ERP & SAP Lead|Distributed Middleware  Databases  Servers and Storage Management|Open|18-Jan-18|17-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000453512|PT MITRA PROFESI INDONESIA|GEDUNG PERMATA KUNINGAN LT 17  JL. KUNINGAN MULIA KAV 9C  JAKARTA 12980|767550593018000|IV106810|Yes|PT Bahtera Pusat Lintasbuana Jl. Raya Pasar Minggu No. 5B  Rawa Bambu  Jakarta Selatan (Indonesia)|BPL IT Operation Support|Distributed Middleware  Databases  Servers and Storage Management|Open|1-Mar-18|30-Apr-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000401376|PT Nityo Infotech Private Limited IT Services|INDONESIA|028750750022000|IV106767|Yes|N/A|Lead & Tech Support for CRM Mobile|Distributed Middleware  Databases  Servers and Storage Management|Open|24-Feb-18|23-Mar-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000401376|PT Nityo Infotech Private Limited IT Services|INDONESIA|028750750022000|IV106822|Yes|N/A|Svc Management - Incident  Capacity  Config|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|12-Mar-18|11-Jun-18|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
1000401376|PT Nityo Infotech Private Limited IT Services|INDONESIA|028750750022000|IV106701|Yes|N/A|Lead & Tech Support for Simponi|Distributed Middleware  Databases  Servers and Storage Management|Open|14-Mar-18|13-Mar-19|GTS|1) Annisa Zulaikha1/Indonesia/IBM 2) Issac Thambi/India/IBM|Indosat||Indosat
34312190|AUSTRALIAN|#N/A|||TBC|N/A||||||||Telstra||Telstra
1000387337|BMC SOFTWA|AUSTRALIA||||N/A||||||||Telstra||Telstra
00387102555|BYTECRAFT|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
0029232066A|CA PACIFIC|AUSTRALIA||||N/A||||||||Telstra||Telstra
1000428531|CDS|AUSTRALIA||||N/A||||||||Telstra||Telstra
0024151800|CINCOM|AUSTRALIA||||N/A||||||||Telstra||Telstra
1000443942|COMPUWARE|AUSTRALIA||||N/A||||||||Telstra||Telstra
0035263657B|CONBRIO|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
1000435134|DDL|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
1000422587|DIGITAL|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
1000421565|ETHAN GROU|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
0028161177C|EXECUTIVE|AUSTRALIA|||Yes|N/A||||||||Telstra||Telstra
1000395815|EXPETUNE P|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
00396539585A|HCL TECHNO|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
0038952895|HEWLETT-PACKARD|AUSTRALIA||||N/A||||||||Telstra||Telstra
00295805968  1000316073|INFORMATIO|#N/A|||TBC|N/A||||||||Telstra||Telstra
1000413143|JUNIPER NE|AUSTRALIA||||N/A||||||||Telstra||Telstra
00398788000C|OFFICEMA|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
0037649133|ONLINE|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
0029595080A|ORACLECORP|AUSTRALIA||||N/A||||||||Telstra||Telstra
00738724811|RED HAT|AUSTRALIA||||N/A||||||||Telstra||Telstra
00398827522B|SERENA|AUSTRALIA||||N/A||||||||Telstra||Telstra
0035697253|SOUTHERN|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
002TELSTRA|TELSTRA CO|AUSTRALIA|||TBC|N/A||||||||Telstra||Telstra
00299013655A|WESTCON GR|AUSTRALIA||||N/A||||||||Telstra||Telstra
|ISI PTY LTD|AUSTRALIA||P693VB|Yes|N/A|Contracting Service - 4x FTE s only with approved Security Clearance|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|Open|||||SIA||DIBP
002TELSTRA|TELSTRA CORPORATION|AUSTRALIA|||Yes|N/A|contract to provide Network services - Project Indigo|Managed Network Services||||||SIA||DIBP
0299648209|TERADATA|AUSTRALIA||P666D5|Yes|N/A|Provide Hardware support and therefore have access to the equipment|Select….|Open|7/1/2017|6/30/2018|||SIA||DIBP
|IGNITE|#N/A||P64V74|Yes|N/A|Physical Tape management at Data Centres|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|||||SIA||DIBP
262804887|A B M Electronic Engineering Australia|AUSTRALIA||Acknowledged Receipt||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
64093585030A|Arrow ECS ANZ Pty Ltd|NEW ZEALAND||Mailed||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
1000427646|Chef Software Inc|AUSTRALIA||Acknowledged Receipt||N/A|IT Infrastructure Automation|See column H||||||SIA||Westpac
1000007516|Colesoft Marketing Inc|AUSTRALIA||Mailed||N/A|Mainframe SW Debugger|See column H||||||SIA||Westpac
295805968|Information Management Integration|#N/A||Acknowledged Receipt||N/A|Infrastructure Services|See column H||||||SIA||Westpac
1000352810|Lakeside Software Pty Ltd|AUSTRALIA||Acknowledged Receipt||N/A|Workspace Analytics|See column H||||||SIA||Westpac
1000401079|Microelectronic Sales Pty Ltd|AUSTRALIA||Mailed||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
1000409302|Oracle Corporation Australia Pty Ltd|AUSTRALIA||Under Analysis||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
5641|SHI International Corp|#N/A||Acknowledged Receipt||N/A|Technology Products and Services|See column H||||||SIA||Westpac
1000190464|Tech Data Advanced Solutions ANZ Pty Ltd|#N/A||Acknowledged Receipt||N/A|Technology Products and Services|See column H||||||SIA||Westpac
1000438047|Telstra Corporation Ltd|#N/A||Under Analysis||N/A|Communications and Network|See column H||||||SIA||Westpac
01300660901A|Toshiba Australia Pty Ltd|AUSTRALIA||Not found||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
|Toshiba Client Solutions ANZ Pty Ltd|#N/A||Not found||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
386106319|TRIDANT PTY LTD|#N/A||Acknowledged Receipt||N/A|Data Analytics|See column H||||||SIA||Westpac
00894742311A|Veritas Australia Pty Ltd|AUSTRALIA||Mailed||N/A|Storage Management|See column H||||||SIA||Westpac
1000439416|Veritas Storage Singapore Pte Ltd|AUSTRALIA||Not found||N/A|Storage Management|See column H||||||SIA||Westpac
1000442936|Westcon Group Pty Ltd|CHINA||Not Active||N/A|Technology Products and Services|See column H||||||SIA||Westpac
AUS0396428011|Whispir Australia Pty Ltd|NEW ZEALAND||Acknowledged Receipt||N/A|Unified Communication|See column H||||||SIA||Westpac
GBR447976850226|World Programming Ltd|AUSTRALIA||Mailed||N/A|Data Analytics|See column H||||||SIA||Westpac
|HP Singapore (Global PC Support)|SINGAPORE|||Yes|N/A|Singapore & global PC support|||||||SIA||SIA
|Symantec Singapore (Anti Virus SW Support)|SINGAPORE|||Yes|N/A|Anti Virus SW Support|||||||SIA||SIA
|IBM Singapore (AIX HW  SW Support)|SINGAPORE|||Yes|N/A|AIX HW  SW Support|||||||SIA||SIA
|RedHat Singapore (Redhat OS Support)|SINGAPORE|||Yes|N/A|Redhat SW Support|||||||SIA||SIA
|Oracle Singapore (Solaris HW  SW Support)|SINGAPORE|||Yes|N/A|Solaris HW  SW Support|||||||SIA||SIA
|Lenovo Singapore (Wintel HW Support)|SINGAPORE|||Yes|N/A|Wintel HW Support|||||||SIA||SIA
|Microsoft Singapore (Wintel SW Support)|SINGAPORE|||Yes|N/A|Wintel SW Support|||||||SIA||SIA
|VMWare Singapore (VMWare SW Support)|SINGAPORE|||Yes|N/A|VMWare SW Support|||||||SIA||SIA
|IBM Singapore (SAN Storage HW SW Support)|SINGAPORE|||Yes|N/A|SAN Storage HW SW Support|||||||SIA||SIA
|Veritas Singapore (Backup SW Support)|SINGAPORE|||Yes|N/A|Backup SW Support|||||||SIA||SIA
|Oracle Singapore (Oracle SW Support)|SINGAPORE|||Yes|N/A|Oracle SW Support|||||||SIA||SIA
|IBM Singapore (DB2 SW Support)|SINGAPORE|||Yes|N/A|DB2 SW Support|||||||SIA||SIA
|Oracle Singapore (MySQL SW Support)|SINGAPORE|||Yes|N/A|MySQL SW Support|||||||SIA||SIA
|Axway Singapore (TumbleWeed SW Support)|SINGAPORE|||Yes|N/A|TumbleWeed SW Support|||||||SIA||SIA
|IBM Singapore (WebSphere SW Support)|SINGAPORE|||Yes|N/A|WebSphere SW Support|||||||SIA||SIA
|IBM Singapore (ITIM SW Support)|SINGAPORE|||Yes|N/A|ITIM SW Support|||||||SIA||SIA
|IBM Singapore (Maximo  ICD SW Support)|SINGAPORE|||Yes|N/A|Maximo  ICD SW Support|||||||SIA||SIA
|IBM Singapore (Backup HW support-Tape Library)|SINGAPORE||||N/A||||||||SIA||SIA
|BO (BOXI support)|SINGAPORE||||N/A||||||||SIA||SIA
|IBM Singapore (Datastage)|SINGAPORE||||N/A||||||||SIA||SIA
|Microsoft Singapore (MSSQL DB Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Oracle Singapore (Weblogic SW Support)|SINGAPORE||||N/A||||||||SIA||SIA
|RedHat Singapore (Jboss Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Microsoft Singapore (IIS Support)|SINGAPORE||||N/A||||||||SIA||SIA
|IBM Singapore (MQ  TDS  WAS SW support)|SINGAPORE||||N/A||||||||SIA||SIA
|CA (Siteminder SW support)|#N/A||||N/A||||||||SIA||SIA
|TOPCOM (UMS H/W & S/W sopport)|#N/A||||N/A||||||||SIA||SIA
|IBM Singapore (X Series Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Citrix (Citrix SW support)|#N/A||||N/A||||||||SIA||SIA
1000413554|Cryptograph Technologies Pvt Ltd|INDIA|N.A|IG207807 AMENDMENT 001|Yes|N/A|Service support for Help Desk  24X7 supp|Client Management; Account and Service Delivery Management|Open|17-Jun-17|16-Jun-18|GTS Solutions  Del & Transformation|Manoj Yadav|Welspun India Ltd.||Welspun
