Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
1000433014|JAMF SOFTWARE LLC                  |NETHERLANDS|N/A|Jamf Pro|Mobility Services Delivery; Managed Mobility and Workplace Support Services |42213||Moshe Maishlish|Moshe Maishlish||Yes (for Cloud)
1000433014|JAMF SOFTWARE LLC|UNITED STATES|N/A|Jamf Pro|Mobility Services Delivery; Managed Mobility and Workplace Support Services |42213||Moshe Maishlish|Moshe Maishlish||Yes (for Cloud)
1000440257|LAKESIDE SOFTWARE EMEA LTD         |NETHERLANDS|N/A|Systrack|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Moshe Maishlish|Moshe Maishlish||Yes (for Cloud)
1000352810|LAKESIDE SOFTWARE INC              |NETHERLANDS|N/A|Systrack|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Moshe Maishlish|Moshe Maishlish||Yes (for Cloud)
1000352810|LAKESIDE SOFTWARE INC|UNITED STATES|N/A|Systrack|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Moshe Maishlish|Moshe Maishlish||Yes (for Cloud)
1000122409|MICROSOFT|UNITED STATES|N/A|MDT|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000443105|MICROSOFT CORP|UNITED STATES|N/A|MDT|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000397442|MICROSOFT CORPORATION INDIA PVT LTD|UNITED STATES|N/A|MDT|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000122409|MICROSOFT|UNITED STATES|N/A|WDS|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000443105|MICROSOFT CORP|UNITED STATES|N/A|WDS|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000397442|MICROSOFT CORPORATION INDIA PVT LTD|UNITED STATES|N/A|WDS|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000404384|MOBILE IRON INC|UNITED STATES|N/A|MobileIron|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000266358|FIBERLINK COMMUNICATIONS|UNITED STATES|N/A|Fiberlink MaaS360|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|Citrix XenDesktop|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000084601|CITRIX SYSTEMS INC|UNITED STATES|N/A|Citrix XenDesktop|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000086976|CITRIX SYSTEMS  INC.|UNITED STATES|N/A|Citrix XenDesktop|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000169374|VMWARE INC|UNITED STATES|N/A|AirWatch|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Adam Kotlinski|Adam Kotlinski||
1000432941|CONTINUITY LOGIC LLC|UNITED STATES|N/A|FrontLine Live|Software & hosting (SaaS) for tooling that facilitates building / maintaining of DR Plans for clients who have outsourced their DR Program Mgmt to IBM. |42786|43877|Primary: Lind  Cynthia Backup: Petruzzi  Theresa Mgr: Fitch  Natalie|We contract with Continuity Logic for licensing and support  and hosting of their tool: FrontLine Live.  THEY contract with IBM Softlayer to do the actual hosting.  I have no way of knowing which Softlayer entity or entitiies they contract with.  We are currently hosted in the USA. Off-boarding note: Current contract w Continuity Logic runs thorugh 2/16/2020  but fully expect that the contract would be renewed for another 3 years.||Yes
IBM_IMP0002|IBM Argentina Sociedad de Responsabilidad Limitada|Pasaje Ingeniero Enrique Butty 275  piso 21  Buenos Aires  ÿC1001AFA  -   Argentina|N/A|FrontLine Live|Infrastructure and Resiliency; Disaster Recovery and Resiliency Services|38718|44196||Included as a vendor because DR Program Mgmt support for some of the US-based clients has been outsourced to IBM Argentina.   The global teams follow our standards and processes and use our tooling (FrontLine Live). On-boarding note: I don't recall the date we first began outsourcing to other geos.... though it was probably some time in the mid 2000's.  I put 1/1/2006 as a guess. Off-boarding note: Their support is ongoing  though the tool requires a date here. I put 12/31/2020.||
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|FrontLine Live|Infrastructure and Resiliency; Disaster Recovery and Resiliency Services|38718|44196||Included as a vendor because DR Program Mgmt support for some of the US-based clients has been outsourced to IBM India.   The global teams follow our standards and processes and use our tooling (FrontLine Live). On-boarding note: I don't recall the date we first began outsourcing to other geos.... though it was probably some time in the mid 2000's.  I put 1/1/2006 as a guess. Off-boarding note: Their support is ongoing  though the tool requires a date here. I put 12/31/2020.||
?|IBM Brasil-Industria  Maquinas e Servicos Limitada|Avenida Pasteur  138/146 - Botafogo - Rio de Janeiro - Brazil|N/A|FrontLine Live|Infrastructure and Resiliency; Disaster Recovery and Resiliency Services|38718|44196||Included as a vendor  EVEN THOUGH it is NOT on the GTS Vendor DB tab   because DR Program Mgmt support for some of the US-based clients has been outsourced to IBM Brazil.   The global teams follow our standards and processes and use our tooling (FrontLine Live). On-boarding note: I don't recall the date we first began outsourcing to other geos.... though it was probably some time in the mid 2000's.  I put 1/1/2006 as a guess. Off-boarding note: Their support is ongoing  though the tool requires a date here. I put 12/31/2020.||
IBM_EXP0119|IBM Poland:  IBM Global Services Delivery Centre Polska Sp. z.o.o.|ul. Muchoborska 8  54-424 Wroc?awul. Krakowiakow 32  02 - 255 Warszawaÿ -ÿ Poland|N/A|FrontLine Live|Infrastructure and Resiliency; Disaster Recovery and Resiliency Services|38718|44196||Included as a vendor  EVEN THOUGH it is NOT on the GTS Vendor DB tab   because DR Program Mgmt support for some of the US-based clients has been outsourced to IBM Poland.   The global teams follow our standards and processes and use our tooling (FrontLine Live). On-boarding note: I don't recall the date we first began outsourcing to other geos.... though it was probably some time in the mid 2000's.  I put 1/1/2006 as a guess. Off-boarding note: Their support is ongoing  though the tool requires a date here. I put 12/31/2020.||
1000258866|PERSISTENT|INDIA|N/A|GIAMA - Global Identity & Access Management Automation|Identity & Access Management (*all)||43465|Alberto Mainieri/Costa Rica/IBM|||
IBM_EXP0036|IBM Deutschland Business & Technology Services GmbH|IBM-Allee 1  71139 Ehningen   -  Germany|N/A|ISIM Europe|Identity & Access Management (*all)|||Edith Finster/Germany/IBM|Vladislav Javorsky/Czech Republic/IBM|Application hosted in Germany DataCenter Ehningen and some of the support teams are also located in Germany.|
