PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|FP - T&M|Full Supplier Address
5005128958||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005128958|Yes (?)|N/A|Onsite Support||Open|10/31/2015|11/2/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005123162||RANDSTAD TECHNOLOGIES|UNITED STATES||5005123162|Yes (?)|N/A|Onsite Support||Open|11/21/2015|11/11/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005114565||TEKSYSTEMS INC|UNITED STATES||5005114565|Yes (?)|N/A|Onsite Support||Open|1/23/2016|10/3/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005083713||EXPERIS US INC|UNITED STATES||5005083713|Yes (?)|N/A|Onsite Support||Open|1/16/2016|2/6/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005118921||EXPERIS US INC|UNITED STATES||5005118921|Yes (?)|N/A|Onsite Support||Open|2/6/2016|10/3/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005090705||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005090705|Yes (?)|N/A|Business Management Operations Analysis||Open|3/5/2016|3/3/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005124842||RANDSTAD TECHNOLOGIES|UNITED STATES||5005124842|Yes (?)|N/A|Onsite Support||Open|4/2/2016|12/21/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005070445||TEKSYSTEMS INC|UNITED STATES||5005070445|Yes (?)|N/A|Onsite Support||Open|6/4/2016|6/8/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005115520||TEKSYSTEMS INC|UNITED STATES||5005115520|Yes (?)|N/A|Onsite Support||Open|9/24/2016|9/27/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005105155||RANDSTAD TECHNOLOGIES|UNITED STATES||5005105155|Yes (?)|N/A|Onsite Support||Open|10/22/2016|11/12/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005145447||EXPERIS INC|UNITED STATES||5005145447|Yes (?)|N/A|Business Management Operations Analysis||Open|5/27/2017|3/20/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005118447||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005118447|Yes (?)|N/A|Onsite Support||Open|2/18/2017|3/5/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005127661||EXPERIS US INC|UNITED STATES||5005127661|Yes (?)|N/A|Onsite Support||Open|12/16/2017|12/17/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005143964||CDI CORP|UNITED STATES||5005143964|Yes (?)|N/A|Onsite Support||Open|1/27/2018|1/30/2019|FINANCIAL|jschroad@us.ibm.com|American Express TRS|74%|T&M|
5005080167||CDI CORP|UNITED STATES||5005080167|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|7/4/2009|8/27/2018|IGA|braunt@us.ibm.com|IGA-US|26%|T&M|
5005080167||CDI CORP|UNITED STATES||5005080167|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|7/4/2009|8/27/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|50%|T&M|
5005071205||CDI CORP|UNITED STATES||5005071205|Yes (?)|N/A|Distributed Server Mgmt (Windows)-Project Services||Open|5/18/2013|2/5/2018|INDUSTRIAL|fsilva@us.ibm.com|EI DUPONT DE NEMOURS|100%|T&M|
5005053893||COLLABERA|PHILIPPINES||5005053893|Yes (?)|N/A|Distributed Backup Recovery||Open|4/30/2016|5/6/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005116721||CDI CORP|UNITED STATES||5005116721|Yes (?)|N/A|Integrated Service Management||Open|8/13/2016|8/18/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005084904||CDI CORP|UNITED STATES||5005084904|Yes (?)|N/A|IT Service Management||Open|8/13/2016|8/18/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005101797||CDI CORP|UNITED STATES||5005101797|Yes (?)|N/A|IT Service Management||Open|9/10/2016|9/12/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005121323||CDI CORP|UNITED STATES||5005121323|Yes (?)|N/A|Complex GTS Delivery Projects||Open|10/1/2016|10/4/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005145418||CDI CORP|UNITED STATES||5005145418|Yes (?)|N/A|Global Technology Services||Open|12/31/2016|3/2/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005114504||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005114504|Yes (?)|N/A|Network Services||Open|10/14/2017|10/8/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005138544||CDI CORP|UNITED STATES||5005138544|Yes (?)|N/A|GTS Infrastructure Services||Open|12/31/2016|1/31/2018|FINANCIAL|ldietz@us.ibm.com|State Street|16%|T&M|
5005070372||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005070372|Yes (?)|N/A|Service Management Services||Open|6/27/2015|7/1/2018|INDUSTRIAL|Jude De Mello/Phoenix/IBM|Baker Hughes|91%|T&M|
5005104770||CDI CORP|UNITED STATES||5005104770|Yes (?)|N/A|Windows||Open|3/4/2017|3/9/2018|INDUSTRIAL|drenna@us.ibm.com|Sony Corporation of America Inc|21%|T&M|
5005074941||CAREER CONNECTION INC|UNITED STATES||5005074941|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|15%|T&M|
5005074941||CAREER CONNECTION INC|UNITED STATES||5005074941|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|87%|T&M|
5005051959||CAREER CONNECTION INC|UNITED STATES||5005051959|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|12%|T&M|
5005051959||CAREER CONNECTION INC|UNITED STATES||5005051959|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|84%|T&M|
5005116177||CAREER CONNECTION INC|UNITED STATES||5005116177|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|14%|T&M|
5005116177||CAREER CONNECTION INC|UNITED STATES||5005116177|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|8%|T&M|
5005072853||CAREER CONNECTION INC|UNITED STATES||5005072853|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|40%|T&M|
5005072853||CAREER CONNECTION INC|UNITED STATES||5005072853|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|15%|T&M|
5005116172||CAREER CONNECTION INC|UNITED STATES||5005116172|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|0%|T&M|
5005116172||CAREER CONNECTION INC|UNITED STATES||5005116172|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|26%|T&M|
5005051955||CAREER CONNECTION INC|UNITED STATES||5005051955|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|35%|T&M|
5005051955||CAREER CONNECTION INC|UNITED STATES||5005051955|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|INDUSTRIAL|eberger@us.ibm.com|United Launch Alliance (ULA)|11%|T&M|
5005055899||CAREER CONNECTION INC|UNITED STATES||5005055899|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|11%|T&M|
5005055899||CAREER CONNECTION INC|UNITED STATES||5005055899|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|100%|T&M|
5005116183||CAREER CONNECTION INC|UNITED STATES||5005116183|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|99%|T&M|
5005116179||CAREER CONNECTION INC|UNITED STATES||5005116179|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|86%|T&M|
5005067065||CAREER CONNECTION INC|UNITED STATES||5005067065|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|12%|T&M|
5005067065||CAREER CONNECTION INC|UNITED STATES||5005067065|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|100%|T&M|
5005117052||CAREER CONNECTION INC|UNITED STATES||5005117052|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|96%|T&M|
5005018460||CAREER CONNECTION INC|UNITED STATES||5005018460|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|4%|T&M|
5005018460||CAREER CONNECTION INC|UNITED STATES||5005018460|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|80%|T&M|
5005116181||CAREER CONNECTION INC|UNITED STATES||5005116181|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|17%|T&M|
5005116181||CAREER CONNECTION INC|UNITED STATES||5005116181|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|84%|T&M|
5005116180||CAREER CONNECTION INC|UNITED STATES||5005116180|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|15%|T&M|
5005116180||CAREER CONNECTION INC|UNITED STATES||5005116180|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|86%|T&M|
5005116178||CAREER CONNECTION INC|UNITED STATES||5005116178|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|13%|T&M|
5005116178||CAREER CONNECTION INC|UNITED STATES||5005116178|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|89%|T&M|
5005116182||KELLY SERVICES INC|UNITED STATES||5005116182|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|10%|T&M|
5005116182||KELLY SERVICES INC|UNITED STATES||5005116182|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|5%|T&M|
5005051965||KELLY SERVICES INC|UNITED STATES||5005051965|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|95%|T&M|
5005051965||KELLY SERVICES INC|UNITED STATES||5005051965|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|11%|T&M|
5005117540||CAREER CONNECTION INC|UNITED STATES||5005117540|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|11%|T&M|
5005117540||CAREER CONNECTION INC|UNITED STATES||5005117540|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|23%|T&M|
5005116175||KELLY SERVICES INC|UNITED STATES||5005116175|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|88%|T&M|
5005117051||KELLY SERVICES INC|UNITED STATES||5005117051|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|10%|T&M|
5005117051||KELLY SERVICES INC|UNITED STATES||5005117051|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|100%|T&M|
5005145086||CAREER CONNECTION INC|UNITED STATES||5005145086|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|38%|T&M|
5005008540||CAREER CONNECTION INC|UNITED STATES||5005008540|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|18%|T&M|
5005008540||CAREER CONNECTION INC|UNITED STATES||5005008540|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|INDUSTRIAL|eberger@us.ibm.com|United Launch Alliance (ULA)|100%|T&M|
5005026045||CAREER CONNECTION INC|UNITED STATES||5005026045|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|97%|T&M|
5005051950||KELLY SERVICES INC|UNITED STATES||5005051950|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|100%|T&M|
5005055889||KELLY SERVICES INC|UNITED STATES||5005055889|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|100%|T&M|
5005071503||KELLY SERVICES INC|UNITED STATES||5005071503|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|22%|T&M|
5005086060||KELLY SERVICES INC|UNITED STATES||5005086060|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|78%|T&M|
5005086060||KELLY SERVICES INC|UNITED STATES||5005086060|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|IGA|braunt@us.ibm.com|IGA-US|100%|T&M|
5005125109||CAREER CONNECTION INC|UNITED STATES||5005125109|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|100%|T&M|
5005125123||CAREER CONNECTION INC|UNITED STATES||5005125123|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|100%|T&M|
5005127732||CAREER CONNECTION INC|UNITED STATES||5005127732|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|100%|T&M|
5005140072||CAREER CONNECTION INC|UNITED STATES||5005140072|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|100%|T&M|
5005141550||CAREER CONNECTION INC|UNITED STATES||5005141550|Yes (?)|N/A|Help Desk||Open|#N/A|#N/A|DISTRIBUTION|dmassoni@us.ibm.com|Avis Budget Car Rental|71%|T&M|
5005104785||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005104785|Yes (?)|N/A|Distributed Server Mgmt (Windows)-Project Services||Open|6/13/2015|4/30/2018|DISTRIBUTION|staniec@us.ibm.com|Sysco|100%|T&M|
5005018957||EXPERIS INC|UNITED STATES||5005018957|Yes (?)|N/A|Infrastructure Services||Open|12/23/2006|1/1/2019|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005130495||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005130495|Yes (?)|N/A|Infrastructure Services||Open|9/6/2008|12/31/2018|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|56%|T&M|
5005119781||COLLABERA|PHILIPPINES||5005119781|Yes (?)|N/A|Infrastructure Services||Open|12/26/2015|11/1/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005070405||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005070405|Yes (?)|N/A|Infrastructure Services||Open|4/10/2010|3/25/2018|DISTRIBUTION|kevintho@us.ibm.com|AmerisourceBergen|40%|T&M|
5005115746||COLLABERA|PHILIPPINES||5005115746|Yes (?)|N/A|Infrastructure Services||Open|12/24/2016|11/1/2018|FINANCIAL|Roberta.Grounds@us.ibm.com|American Express Global Business Travel|2%|T&M|
5005115746||COLLABERA|PHILIPPINES||5005115746|Yes (?)|N/A|Infrastructure Services||Open|12/24/2016|11/1/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005120526||CDI CORP|UNITED STATES||5005120526|Yes (?)|N/A|Infrastructure Services||Open|10/9/2010|10/28/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|100%|T&M|
5005094810||CDI CORP|UNITED STATES||5005094810|Yes (?)|N/A|Infrastructure Services||Open|7/2/2011|9/14/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005070299||CDI CORP|UNITED STATES||5005070299|Yes (?)|N/A|Infrastructure Services||Open|1/14/2012|5/31/2018|DISTRIBUTION|kevintho@us.ibm.com|AmerisourceBergen|30%|T&M|
5005070498||CDI CORP|UNITED STATES||5005070498|Yes (?)|N/A|UNIX Operating Systems AIX||Open|6/2/2012|5/12/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|16%|T&M|
5005110166||CDI CORP|UNITED STATES||5005110166|Yes (?)|N/A|Infrastructure Services||Open|4/9/2016|3/31/2018|ITS|jschroad@us.ibm.com|American Express TRS|4%|T&M|
5005110166||CDI CORP|UNITED STATES||5005110166|Yes (?)|N/A|Infrastructure Services||Open|4/9/2016|3/31/2018|ITS|N/A closed|COTY INC|100%|T&M|
5005105665||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005105665|Yes (?)|N/A|Infrastructure Services||Open|12/26/2015|12/31/2018|ITS|debbolk@us.ibm.com|Kaiser Permanente|100%|T&M|
5005123636||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005123636|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|6/29/2013|5/13/2018|DISTRIBUTION|kevintho@us.ibm.com|AmerisourceBergen|30%|T&M|
5005070350||CDI CORP|UNITED STATES||5005070350|Yes (?)|N/A|Infrastructure Services||Open|9/28/2013|2/24/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|31%|T&M|
5005094675||CDI CORP|UNITED STATES||5005094675|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|4/26/2014|2/25/2018|FINANCIAL|jschroad@us.ibm.com|American Express TRS|100%|T&M|
5005071225||COLLABERA|PHILIPPINES||5005071225|Yes (?)|N/A|IRM Planning||Open|3/28/2015|4/2/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|100%|T&M|
5005078241||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005078241|Yes (?)|N/A|Infrastructure Services||Open|4/11/2015|4/30/2018|DISTRIBUTION|kevintho@us.ibm.com|AmerisourceBergen|100%|T&M|
5005103921||COLLABERA|PHILIPPINES||5005103921|Yes (?)|N/A|Windows||Open|6/6/2015|5/31/2018|DISTRIBUTION|kevintho@us.ibm.com|AmerisourceBergen|100%|T&M|
5004978325||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5004978325|Yes (?)|N/A|Windows||Open|7/18/2015|3/31/2018|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|18%|T&M|
5005118276||CDI CORP|UNITED STATES||5005118276|Yes (?)|N/A|UNIX Operating Systems AIX||Open|9/26/2015|10/12/2018|COMMUNICATIONS|dietz@us.ibm.com|CSC - Computer Sciences Corporation|100%|T&M|
5005118362||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005118362|Yes (?)|N/A|VMWare||Open|5/7/2016|11/16/2018|COMMUNICATIONS|wrparker@us.ibm.com|NiSource|100%|T&M|
5005113521||CDI CORP|UNITED STATES||5005113521|Yes (?)|N/A|Storage Management Services||Open|8/13/2016|9/30/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|100%|T&M|
5005111296||STONE DOOR GROUP LLC|UNITED STATES||5005111296|Yes (?)|N/A|Infrastructure Services||Open|9/3/2016|9/2/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|100%|T&M|
5004882632||THE COMPUTER MERCHANT LTD|UNITED STATES||5004882632|Yes (?)|N/A|Storage Management-Project Services||Open|6/4/2016|4/30/2018|ITS|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005063388||COLLABERA|PHILIPPINES||5005063388|Yes (?)|N/A|Infrastructure Services||Open|7/8/2017|7/10/2018|DISTRIBUTION|staniec@us.ibm.com|Sysco|100%|T&M|
5005096867||COLLABERA|PHILIPPINES||5005096867|Yes (?)|N/A|UNIX Operating Systems Solaris||Open|9/2/2017|9/5/2018|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|100%|T&M|
5005103930||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005103930|Yes (?)|N/A|VMWare||Open|9/30/2017|10/2/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005107274||COLLABERA|PHILIPPINES||5005107274|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|9/23/2017|9/25/2018|COMMUNICATIONS|jimboden@us.ibm.com|ACS State Healthcare / CA-MMIS|100%|T&M|
5005107272||CDI CORP|UNITED STATES||5005107272|Yes (?)|N/A|VMWare||Open|9/23/2017|9/25/2018|DISTRIBUTION|staniec@us.ibm.com|Sysco|100%|T&M|
5005108396||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005108396|Yes (?)|N/A|VMWare||Open|9/23/2017|9/25/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005108420||CDI CORP|UNITED STATES||5005108420|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|9/23/2017|6/29/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005111493||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005111493|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|9/30/2017|10/2/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005117103||CDI CORP|UNITED STATES||5005117103|Yes (?)|N/A|UNIX Operating Systems LINUX||Open|10/21/2017|10/23/2018|PUBLIC|Janice McLain/St Louis/IBM@IBMUS|Raytheon|100%|T&M|
5005115810||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005115810|Yes (?)|N/A|IMI Distributed Storage Support||Open|4/1/2017|6/30/2018|INDUSTRIAL|lemond@us.ibm.com|AECOM|99%|T&M|
5005145982||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005145982|Yes (?)|N/A|SMI.Performance & Capacity Management Mainframe||Open|2/11/2017|3/3/2018|COMMUNICATIONS|Frank Urbanski/Alpharetta/IBM@IBMUS|VERIZON SOURCING LLC|57%|T&M|
5005147345||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005147345|Yes (?)|N/A|Managed Resiliency Services||Open|12/26/2015|4/20/2018|INDUSTRIAL|lemond@us.ibm.com|AECOM|32%|T&M|
5005147345||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005147345|Yes (?)|N/A|Managed Resiliency Services||Open|12/26/2015|4/20/2018|INDUSTRIAL|Jude De Mello/Phoenix/IBM|Baker Hughes|1%|T&M|
5005147345||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005147345|Yes (?)|N/A|Managed Resiliency Services||Open|12/26/2015|4/20/2018|ITS|drenna@us.ibm.com|Sony Corporation of America Inc|0%|T&M|
5005147345||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005147345|Yes (?)|N/A|Managed Resiliency Services||Open|12/26/2015|4/20/2018|ITS|ameyer@us.ibm.com|Welch Allyn|9%|T&M|
5005123576||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005123576|Yes (?)|N/A|Site Facilities & Data Center Services||Open|12/26/2015|10/31/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|10%|T&M|
5005105857||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005105857|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|12/26/2015|4/30/2018|INDUSTRIAL|lemond@us.ibm.com|AECOM|13%|T&M|
5005105857||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005105857|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|12/26/2015|4/30/2018|PUBLIC|debbolk@us.ibm.com|Kaiser Permanente|8%|T&M|
5005105857||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005105857|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|12/26/2015|4/30/2018|ITS|ameyer@us.ibm.com|Welch Allyn|71%|T&M|
5005050479||INFINITE COMPUTER SOLUTIONS INC|UNITED STATES||5005050479|Yes (?)|N/A|Infrastructure Recovery Services||Open|5/27/2017|4/30/2018|INDUSTRIAL|lemond@us.ibm.com|AECOM|100%|T&M|
5005122433||COLLABERA|PHILIPPINES||5005122433|Yes (?)|N/A|Backup as a Service||Open|10/28/2017|10/31/2018|ITS|debbolk@us.ibm.com|Kaiser Permanente|14%|T&M|
5005126535||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005126535|Yes (?)|N/A|Cloud Managed Services (Shared)||Open|12/9/2017|12/7/2018|INDUSTRIAL|Jude De Mello/Phoenix/IBM|Baker Hughes|100%|T&M|
5005074145||COLLABERA|PHILIPPINES||5005074145|Yes (?)|N/A|Backup as a Service||Open|7/22/2017|7/28/2018|FINANCIAL|ldietz@us.ibm.com|State Street|100%|T&M|
5005093790||CDI CORP|UNITED STATES||5005093790|Yes (?)|N/A|Customer-Specific Application Support-Midrange||Open|3/19/2011|10/29/2018|DISTRIBUTION|staniec@us.ibm.com|Sysco|100%|T&M|
5005118443||ARTECH INFORMATION SYSTEMS LLC|UNITED STATES||5005118443|Yes (?)|N/A|Windows||Open|4/18/2015|4/17/2018|DISTRIBUTION|wcsebes@us.ibm.com|Hertz|21%|T&M|
